Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
83.75,0.1,53.811,0.018584,6.3179,6.3197,20.175,69.416,75.659,1553.3,-0.18757,338.11,0.66933,
84,0.1,53.802,0.018587,6.3368,6.3386,20.228,69.392,75.663,1553.3,-0.18743,337.09,0.66948,
84.25,0.1,53.793,0.01859,6.3557,6.3575,20.281,69.368,75.666,1553.2,-0.18729,336.08,0.66963,
84.5,0.1,53.784,0.018593,6.3746,6.3765,20.334,69.345,75.67,1553.1,-0.18714,335.07,0.66978,
84.75,0.1,53.775,0.018596,6.3935,6.3954,20.387,69.321,75.674,1553,-0.187,334.07,0.66992,
85,0.1,53.766,0.018599,6.4124,6.4143,20.44,69.297,75.678,1552.9,-0.18686,333.08,0.67007,
85.25,0.1,53.757,0.018602,6.4314,6.4332,20.492,69.274,75.681,1552.8,-0.18672,332.08,0.67021,
85.5,0.1,53.748,0.018605,6.4503,6.4521,20.545,69.25,75.685,1552.7,-0.18658,331.1,0.67035,
85.75,0.1,53.739,0.018608,6.4692,6.4711,20.598,69.226,75.689,1552.6,-0.18644,330.11,0.6705,
86,0.1,53.73,0.018612,6.4881,6.49,20.651,69.203,75.693,1552.5,-0.1863,329.14,0.67064,
86.25,0.1,53.721,0.018615,6.507,6.5089,20.703,69.179,75.697,1552.3,-0.18616,328.17,0.67078,
86.5,0.1,53.712,0.018618,6.526,6.5278,20.756,69.155,75.701,1552.2,-0.18602,327.2,0.67092,
86.75,0.1,53.703,0.018621,6.5449,6.5468,20.809,69.132,75.705,1552.1,-0.18588,326.24,0.67106,
87,0.1,53.694,0.018624,6.5638,6.5657,20.861,69.108,75.709,1552,-0.18573,325.28,0.6712,
87.25,0.1,53.684,0.018627,6.5827,6.5846,20.914,69.085,75.713,1551.9,-0.18559,324.33,0.67133,
87.5,0.1,53.675,0.018631,6.6017,6.6035,20.966,69.061,75.717,1551.8,-0.18545,323.38,0.67147,
87.75,0.1,53.666,0.018634,6.6206,6.6225,21.019,69.037,75.721,1551.6,-0.18531,322.44,0.67161,
88,0.1,53.657,0.018637,6.6395,6.6414,21.071,69.014,75.725,1551.5,-0.18517,321.5,0.67174,
88.25,0.1,53.648,0.01864,6.6585,6.6603,21.124,68.99,75.729,1551.4,-0.18502,320.57,0.67187,
88.5,0.1,53.639,0.018643,6.6774,6.6793,21.176,68.966,75.733,1551.3,-0.18488,319.64,0.67201,
88.75,0.1,53.629,0.018647,6.6963,6.6982,21.228,68.943,75.737,1551.1,-0.18474,318.72,0.67214,
89,0.1,53.62,0.01865,6.7153,6.7171,21.281,68.919,75.741,1551,-0.1846,317.8,0.67227,
89.25,0.1,53.611,0.018653,6.7342,6.7361,21.333,68.895,75.745,1550.9,-0.18446,316.89,0.6724,
89.5,0.1,53.601,0.018656,6.7531,6.755,21.385,68.872,75.75,1550.7,-0.18431,315.98,0.67253,
89.75,0.1,53.592,0.018659,6.7721,6.7739,21.437,68.848,75.754,1550.6,-0.18417,315.07,0.67266,
90,0.1,53.583,0.018663,6.791,6.7929,21.489,68.825,75.758,1550.4,-0.18403,314.17,0.67279,
90.25,0.1,53.573,0.018666,6.81,6.8118,21.542,68.801,75.762,1550.3,-0.18388,313.28,0.67291,
90.5,0.1,53.564,0.018669,6.8289,6.8308,21.594,68.777,75.766,1550.2,-0.18374,312.39,0.67304,
90.75,0.1,53.555,0.018672,6.8478,6.8497,21.646,68.754,75.771,1550,-0.1836,311.5,0.67317,
91,0.1,53.545,0.018676,6.8668,6.8686,21.698,68.73,75.775,1549.9,-0.18345,310.62,0.67329,
91.25,0.1,53.536,0.018679,6.8857,6.8876,21.75,68.707,75.779,1549.7,-0.18331,309.74,0.67341,
91.5,0.1,53.527,0.018682,6.9047,6.9065,21.802,68.683,75.784,1549.6,-0.18317,308.87,0.67354,
91.75,0.1,53.517,0.018686,6.9236,6.9255,21.854,68.659,75.788,1549.4,-0.18302,308,0.67366,
92,0.1,53.508,0.018689,6.9426,6.9444,21.906,68.636,75.793,1549.2,-0.18288,307.14,0.67378,
92.25,0.1,53.498,0.018692,6.9615,6.9634,21.957,68.612,75.797,1549.1,-0.18273,306.27,0.6739,
